,pert_id,cell_iname,pert_dose_num,pert_time_num
LJP001_MCF7_24H:BRD-K36740062-001-02-5:0.08,BRD-K36740062,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K36740062-001-02-5:0.4,BRD-K36740062,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K36740062-001-02-5:10,BRD-K36740062,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K36740062-001-02-5:2,BRD-K36740062,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K64890080-001-09-6:0.08,BRD-K64890080,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K64890080-001-09-6:0.4,BRD-K64890080,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K64890080-001-09-6:10,BRD-K64890080,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K64890080-001-09-6:2,BRD-K64890080,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K76908866-001-03-5:0.08,BRD-K76908866,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K76908866-001-03-5:0.4,BRD-K76908866,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K76908866-001-03-5:10,BRD-K76908866,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K76908866-001-03-5:2,BRD-K76908866,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K83963101-001-02-8:0.08,BRD-K83963101,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K83963101-001-02-8:0.4,BRD-K83963101,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K83963101-001-02-8:10,BRD-K83963101,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K83963101-001-02-8:2,BRD-K83963101,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K85606544-001-04-2:0.08,BRD-K85606544,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K85606544-001-04-2:0.4,BRD-K85606544,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K85606544-001-04-2:10,BRD-K85606544,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K85606544-001-04-2:2,BRD-K85606544,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K87909389-001-04-6:0.08,BRD-K87909389,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K92428232-001-03-1:0.08,BRD-K92428232,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K92428232-001-03-1:0.4,BRD-K92428232,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K92428232-001-03-1:10,BRD-K92428232,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K92428232-001-03-1:2,BRD-K92428232,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K93918653-001-03-0:0.08,BRD-K93918653,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K93918653-001-03-0:0.4,BRD-K93918653,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K93918653-001-03-0:10,BRD-K93918653,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K93918653-001-03-0:2,BRD-K93918653,MCF7,2.0,24.0
LJP001_MCF7_24H:BRD-K99545815-001-02-2:0.08,BRD-K99545815,MCF7,0.08,24.0
LJP001_MCF7_24H:BRD-K99545815-001-02-2:0.4,BRD-K99545815,MCF7,0.4,24.0
LJP001_MCF7_24H:BRD-K99545815-001-02-2:10,BRD-K99545815,MCF7,10.0,24.0
LJP001_MCF7_24H:BRD-K99545815-001-02-2:2,BRD-K99545815,MCF7,2.0,24.0
LJP002_MCF7_24H:A21,BRD-K64052750,MCF7,10.0,24.0
LJP002_MCF7_24H:A22,BRD-K64052750,MCF7,2.0,24.0
LJP002_MCF7_24H:B21,BRD-K64052750,MCF7,0.4,24.0
LJP002_MCF7_24H:B22,BRD-K64052750,MCF7,0.08,24.0
LJP002_MCF7_24H:E01,BRD-K66538826,MCF7,10.0,24.0
LJP002_MCF7_24H:E02,BRD-K66538826,MCF7,2.0,24.0
LJP002_MCF7_24H:F01,BRD-K66538826,MCF7,0.4,24.0
LJP002_MCF7_24H:F02,BRD-K66538826,MCF7,0.08,24.0
LJP002_MCF7_24H:G03,BRD-K71035033,MCF7,10.0,24.0
LJP002_MCF7_24H:G04,BRD-K71035033,MCF7,2.0,24.0
LJP002_MCF7_24H:H03,BRD-K71035033,MCF7,0.4,24.0
LJP002_MCF7_24H:H04,BRD-K71035033,MCF7,0.08,24.0
LJP002_MCF7_24H:K13,BRD-K03449891,MCF7,10.0,24.0
LJP002_MCF7_24H:K14,BRD-K03449891,MCF7,2.0,24.0
LJP002_MCF7_24H:K19,BRD-K08799216,MCF7,10.0,24.0
LJP002_MCF7_24H:K20,BRD-K08799216,MCF7,2.0,24.0
LJP002_MCF7_24H:L13,BRD-K03449891,MCF7,0.4,24.0
LJP002_MCF7_24H:L14,BRD-K03449891,MCF7,0.08,24.0
LJP002_MCF7_24H:L19,BRD-K08799216,MCF7,0.4,24.0
LJP002_MCF7_24H:L20,BRD-K08799216,MCF7,0.08,24.0
LJP002_MCF7_24H:O05,BRD-K70511574,MCF7,10.0,24.0
LJP002_MCF7_24H:O06,BRD-K70511574,MCF7,2.0,24.0
LJP002_MCF7_24H:P05,BRD-K70511574,MCF7,0.4,24.0
LJP002_MCF7_24H:P06,BRD-K70511574,MCF7,0.08,24.0
LJP005_A549_24H:A07,BRD-K76908866,A549,10.0,24.0
LJP005_A549_24H:A08,BRD-K76908866,A549,3.33,24.0
LJP005_A549_24H:A09,BRD-K76908866,A549,1.11,24.0
LJP005_A549_24H:A10,BRD-K76908866,A549,0.37,24.0
LJP005_A549_24H:A11,BRD-K76908866,A549,0.12,24.0
LJP005_A549_24H:A12,BRD-K76908866,A549,0.04,24.0
LJP005_A549_24H:A13,BRD-K85606544,A549,10.0,24.0
LJP005_A549_24H:A14,BRD-K85606544,A549,3.33,24.0
LJP005_A549_24H:A15,BRD-K85606544,A549,1.11,24.0
LJP005_A549_24H:A16,BRD-K85606544,A549,0.37,24.0
LJP005_A549_24H:A17,BRD-K85606544,A549,0.12,24.0
LJP005_A549_24H:A18,BRD-K85606544,A549,0.04,24.0
LJP005_A549_24H:H07,BRD-K03449891,A549,10.0,24.0
LJP005_A549_24H:H08,BRD-K03449891,A549,3.33,24.0
LJP005_A549_24H:H09,BRD-K03449891,A549,1.11,24.0
LJP005_A549_24H:H10,BRD-K03449891,A549,0.37,24.0
LJP005_A549_24H:H11,BRD-K03449891,A549,0.12,24.0
LJP005_A549_24H:H12,BRD-K03449891,A549,0.04,24.0
LJP005_A549_24H:I13,BRD-K08799216,A549,10.0,24.0
LJP005_A549_24H:I14,BRD-K08799216,A549,3.33,24.0
LJP005_A549_24H:I15,BRD-K08799216,A549,1.11,24.0
LJP005_A549_24H:I16,BRD-K08799216,A549,0.37,24.0
LJP005_A549_24H:I17,BRD-K08799216,A549,0.12,24.0
LJP005_A549_24H:I18,BRD-K08799216,A549,0.04,24.0
LJP005_A549_24H:J01,BRD-K07691486,A549,10.0,24.0
LJP005_A549_24H:J02,BRD-K07691486,A549,3.33,24.0
LJP005_A549_24H:J03,BRD-K07691486,A549,1.11,24.0
LJP005_A549_24H:J04,BRD-K07691486,A549,0.37,24.0
LJP005_A549_24H:J05,BRD-K07691486,A549,0.12,24.0
LJP005_A549_24H:J06,BRD-K07691486,A549,0.04,24.0
LJP005_MCF7_24H:A07,BRD-K76908866,MCF7,10.0,24.0
LJP005_MCF7_24H:A08,BRD-K76908866,MCF7,3.33,24.0
LJP005_MCF7_24H:A09,BRD-K76908866,MCF7,1.11,24.0
LJP005_MCF7_24H:A10,BRD-K76908866,MCF7,0.37,24.0
LJP005_MCF7_24H:A11,BRD-K76908866,MCF7,0.12,24.0
LJP005_MCF7_24H:A12,BRD-K76908866,MCF7,0.04,24.0
LJP005_MCF7_24H:A13,BRD-K85606544,MCF7,10.0,24.0
LJP005_MCF7_24H:A14,BRD-K85606544,MCF7,3.33,24.0
LJP005_MCF7_24H:A15,BRD-K85606544,MCF7,1.11,24.0
LJP005_MCF7_24H:A16,BRD-K85606544,MCF7,0.37,24.0
LJP005_MCF7_24H:A17,BRD-K85606544,MCF7,0.12,24.0
LJP005_MCF7_24H:A18,BRD-K85606544,MCF7,0.04,24.0
LJP005_MCF7_24H:H07,BRD-K03449891,MCF7,10.0,24.0
LJP005_MCF7_24H:H08,BRD-K03449891,MCF7,3.33,24.0
LJP005_MCF7_24H:H09,BRD-K03449891,MCF7,1.11,24.0
LJP005_MCF7_24H:H10,BRD-K03449891,MCF7,0.37,24.0
LJP005_MCF7_24H:H11,BRD-K03449891,MCF7,0.12,24.0
LJP005_MCF7_24H:H12,BRD-K03449891,MCF7,0.04,24.0
LJP005_MCF7_24H:I13,BRD-K08799216,MCF7,10.0,24.0
LJP005_MCF7_24H:I14,BRD-K08799216,MCF7,3.33,24.0
LJP005_MCF7_24H:I15,BRD-K08799216,MCF7,1.11,24.0
LJP005_MCF7_24H:I16,BRD-K08799216,MCF7,0.37,24.0
LJP005_MCF7_24H:I17,BRD-K08799216,MCF7,0.12,24.0
LJP005_MCF7_24H:I18,BRD-K08799216,MCF7,0.04,24.0
LJP005_MCF7_24H:J01,BRD-K07691486,MCF7,10.0,24.0
LJP005_MCF7_24H:J02,BRD-K07691486,MCF7,3.33,24.0
LJP005_MCF7_24H:J03,BRD-K07691486,MCF7,1.11,24.0
LJP005_MCF7_24H:J04,BRD-K07691486,MCF7,0.37,24.0
LJP005_MCF7_24H:J05,BRD-K07691486,MCF7,0.12,24.0
LJP005_MCF7_24H:J06,BRD-K07691486,MCF7,0.04,24.0
LJP005_PC3_24H:A07,BRD-K76908866,PC3,10.0,24.0
LJP005_PC3_24H:A08,BRD-K76908866,PC3,3.33,24.0
LJP005_PC3_24H:A09,BRD-K76908866,PC3,1.11,24.0
LJP005_PC3_24H:A10,BRD-K76908866,PC3,0.37,24.0
LJP005_PC3_24H:A11,BRD-K76908866,PC3,0.12,24.0
LJP005_PC3_24H:A12,BRD-K76908866,PC3,0.04,24.0
LJP005_PC3_24H:A13,BRD-K85606544,PC3,10.0,24.0
LJP005_PC3_24H:A14,BRD-K85606544,PC3,3.33,24.0
LJP005_PC3_24H:A15,BRD-K85606544,PC3,1.11,24.0
LJP005_PC3_24H:A16,BRD-K85606544,PC3,0.37,24.0
LJP005_PC3_24H:A17,BRD-K85606544,PC3,0.12,24.0
LJP005_PC3_24H:A18,BRD-K85606544,PC3,0.04,24.0
LJP005_PC3_24H:H07,BRD-K03449891,PC3,10.0,24.0
LJP005_PC3_24H:H08,BRD-K03449891,PC3,3.33,24.0
LJP005_PC3_24H:H09,BRD-K03449891,PC3,1.11,24.0
LJP005_PC3_24H:H10,BRD-K03449891,PC3,0.37,24.0
LJP005_PC3_24H:H11,BRD-K03449891,PC3,0.12,24.0
LJP005_PC3_24H:H12,BRD-K03449891,PC3,0.04,24.0
LJP005_PC3_24H:I13,BRD-K08799216,PC3,10.0,24.0
LJP005_PC3_24H:I14,BRD-K08799216,PC3,3.33,24.0
LJP005_PC3_24H:I15,BRD-K08799216,PC3,1.11,24.0
LJP005_PC3_24H:I16,BRD-K08799216,PC3,0.37,24.0
LJP005_PC3_24H:I17,BRD-K08799216,PC3,0.12,24.0
LJP005_PC3_24H:I18,BRD-K08799216,PC3,0.04,24.0
LJP005_PC3_24H:J01,BRD-K07691486,PC3,10.0,24.0
LJP005_PC3_24H:J02,BRD-K07691486,PC3,3.33,24.0
LJP005_PC3_24H:J03,BRD-K07691486,PC3,1.11,24.0
LJP005_PC3_24H:J04,BRD-K07691486,PC3,0.37,24.0
LJP005_PC3_24H:J05,BRD-K07691486,PC3,0.12,24.0
LJP005_PC3_24H:J06,BRD-K07691486,PC3,0.04,24.0
LJP006_A549_24H:A13,BRD-K87909389,A549,10.0,24.0
LJP006_A549_24H:A14,BRD-K87909389,A549,3.33,24.0
LJP006_A549_24H:A15,BRD-K87909389,A549,1.11,24.0
LJP006_A549_24H:A16,BRD-K87909389,A549,0.37,24.0
LJP006_A549_24H:A17,BRD-K87909389,A549,0.12,24.0
LJP006_A549_24H:A18,BRD-K87909389,A549,0.04,24.0
LJP006_A549_24H:C13,BRD-K20285085,A549,10.0,24.0
LJP006_A549_24H:C14,BRD-K20285085,A549,3.33,24.0
LJP006_A549_24H:C15,BRD-K20285085,A549,1.11,24.0
LJP006_A549_24H:C16,BRD-K20285085,A549,0.37,24.0
LJP006_A549_24H:C17,BRD-K20285085,A549,0.12,24.0
LJP006_A549_24H:C18,BRD-K20285085,A549,0.04,24.0
LJP006_A549_24H:D07,BRD-K19540840,A549,10.0,24.0
LJP006_A549_24H:D08,BRD-K19540840,A549,3.33,24.0
LJP006_A549_24H:D09,BRD-K19540840,A549,1.11,24.0
LJP006_A549_24H:D10,BRD-K19540840,A549,0.37,24.0
LJP006_A549_24H:D11,BRD-K19540840,A549,0.12,24.0
LJP006_A549_24H:D12,BRD-K19540840,A549,0.04,24.0
LJP006_A549_24H:D13,BRD-K64890080,A549,10.0,24.0
LJP006_A549_24H:D14,BRD-K64890080,A549,3.33,24.0
LJP006_A549_24H:D15,BRD-K64890080,A549,1.11,24.0
LJP006_A549_24H:D16,BRD-K64890080,A549,0.37,24.0
LJP006_A549_24H:D17,BRD-K64890080,A549,0.12,24.0
LJP006_A549_24H:D18,BRD-K64890080,A549,0.04,24.0
LJP006_A549_24H:F13,BRD-K99545815,A549,10.0,24.0
LJP006_A549_24H:F14,BRD-K99545815,A549,3.33,24.0
LJP006_A549_24H:F15,BRD-K99545815,A549,1.11,24.0
LJP006_A549_24H:F16,BRD-K99545815,A549,0.37,24.0
LJP006_A549_24H:F17,BRD-K99545815,A549,0.12,24.0
LJP006_A549_24H:F18,BRD-K99545815,A549,0.04,24.0
LJP006_A549_24H:N07,BRD-K64052750,A549,10.0,24.0
LJP006_A549_24H:N08,BRD-K64052750,A549,3.33,24.0
LJP006_A549_24H:N09,BRD-K64052750,A549,1.11,24.0
LJP006_A549_24H:N10,BRD-K64052750,A549,0.37,24.0
LJP006_A549_24H:N11,BRD-K64052750,A549,0.12,24.0
LJP006_A549_24H:N12,BRD-K64052750,A549,0.04,24.0
LJP006_PC3_24H:A13,BRD-K87909389,PC3,10.0,24.0
LJP006_PC3_24H:A14,BRD-K87909389,PC3,3.33,24.0
LJP006_PC3_24H:A15,BRD-K87909389,PC3,1.11,24.0
LJP006_PC3_24H:A16,BRD-K87909389,PC3,0.37,24.0
LJP006_PC3_24H:A17,BRD-K87909389,PC3,0.12,24.0
LJP006_PC3_24H:A18,BRD-K87909389,PC3,0.04,24.0
LJP006_PC3_24H:C13,BRD-K20285085,PC3,10.0,24.0
LJP006_PC3_24H:C14,BRD-K20285085,PC3,3.33,24.0
LJP006_PC3_24H:C15,BRD-K20285085,PC3,1.11,24.0
LJP006_PC3_24H:C16,BRD-K20285085,PC3,0.37,24.0
LJP006_PC3_24H:C17,BRD-K20285085,PC3,0.12,24.0
LJP006_PC3_24H:C18,BRD-K20285085,PC3,0.04,24.0
LJP006_PC3_24H:D07,BRD-K19540840,PC3,10.0,24.0
LJP006_PC3_24H:D08,BRD-K19540840,PC3,3.33,24.0
LJP006_PC3_24H:D09,BRD-K19540840,PC3,1.11,24.0
LJP006_PC3_24H:D10,BRD-K19540840,PC3,0.37,24.0
LJP006_PC3_24H:D11,BRD-K19540840,PC3,0.12,24.0
LJP006_PC3_24H:D12,BRD-K19540840,PC3,0.04,24.0
LJP006_PC3_24H:D13,BRD-K64890080,PC3,10.0,24.0
LJP006_PC3_24H:D14,BRD-K64890080,PC3,3.33,24.0
LJP006_PC3_24H:D15,BRD-K64890080,PC3,1.11,24.0
LJP006_PC3_24H:D16,BRD-K64890080,PC3,0.37,24.0
LJP006_PC3_24H:D17,BRD-K64890080,PC3,0.12,24.0
LJP006_PC3_24H:D18,BRD-K64890080,PC3,0.04,24.0
LJP006_PC3_24H:F13,BRD-K99545815,PC3,10.0,24.0
LJP006_PC3_24H:F14,BRD-K99545815,PC3,3.33,24.0
LJP006_PC3_24H:F15,BRD-K99545815,PC3,1.11,24.0
LJP006_PC3_24H:F16,BRD-K99545815,PC3,0.37,24.0
LJP006_PC3_24H:F17,BRD-K99545815,PC3,0.12,24.0
LJP006_PC3_24H:F18,BRD-K99545815,PC3,0.04,24.0
LJP006_PC3_24H:N07,BRD-K64052750,PC3,10.0,24.0
LJP006_PC3_24H:N08,BRD-K64052750,PC3,3.33,24.0
LJP006_PC3_24H:N09,BRD-K64052750,PC3,1.11,24.0
LJP006_PC3_24H:N10,BRD-K64052750,PC3,0.37,24.0
LJP006_PC3_24H:N11,BRD-K64052750,PC3,0.12,24.0
LJP006_PC3_24H:N12,BRD-K64052750,PC3,0.04,24.0
LJP007_A549_24H:A03,BRD-K81418486,A549,10.0,24.0
LJP007_A549_24H:A13,BRD-K66538826,A549,10.0,24.0
LJP007_A549_24H:A14,BRD-K66538826,A549,3.33,24.0
LJP007_A549_24H:A15,BRD-K66538826,A549,1.11,24.0
LJP007_A549_24H:A16,BRD-K66538826,A549,0.37,24.0
LJP007_A549_24H:A17,BRD-K66538826,A549,0.12,24.0
LJP007_A549_24H:A18,BRD-K66538826,A549,0.04,24.0
LJP007_A549_24H:D19,BRD-K99964838,A549,10.0,24.0
LJP007_A549_24H:D20,BRD-K99964838,A549,3.33,24.0
LJP007_A549_24H:D21,BRD-K99964838,A549,1.11,24.0
LJP007_A549_24H:D22,BRD-K99964838,A549,0.37,24.0
LJP007_A549_24H:D23,BRD-K99964838,A549,0.12,24.0
LJP007_A549_24H:D24,BRD-K99964838,A549,0.04,24.0
LJP007_A549_24H:E19,BRD-K13662825,A549,10.0,24.0
LJP007_A549_24H:E20,BRD-K13662825,A549,3.33,24.0
LJP007_A549_24H:E21,BRD-K13662825,A549,1.11,24.0
LJP007_A549_24H:E22,BRD-K13662825,A549,0.37,24.0
LJP007_A549_24H:E23,BRD-K13662825,A549,0.12,24.0
LJP007_A549_24H:E24,BRD-K13662825,A549,0.04,24.0
LJP007_A549_24H:G01,BRD-K21718444,A549,10.0,24.0
LJP007_A549_24H:G02,BRD-K21718444,A549,3.33,24.0
LJP007_A549_24H:G03,BRD-K21718444,A549,1.11,24.0
LJP007_A549_24H:G04,BRD-K21718444,A549,0.37,24.0
LJP007_A549_24H:G05,BRD-K21718444,A549,0.12,24.0
LJP007_A549_24H:G06,BRD-K21718444,A549,0.04,24.0
LJP007_A549_24H:G07,BRD-K57169635,A549,10.0,24.0
LJP007_A549_24H:G08,BRD-K57169635,A549,3.33,24.0
LJP007_A549_24H:G09,BRD-K57169635,A549,1.11,24.0
LJP007_A549_24H:G10,BRD-K57169635,A549,0.37,24.0
LJP007_A549_24H:G11,BRD-K57169635,A549,0.12,24.0
LJP007_A549_24H:G12,BRD-K57169635,A549,0.04,24.0
LJP007_A549_24H:I13,BRD-K71035033,A549,10.0,24.0
LJP007_A549_24H:I14,BRD-K71035033,A549,3.33,24.0
LJP007_A549_24H:I15,BRD-K71035033,A549,1.11,24.0
LJP007_A549_24H:I16,BRD-K71035033,A549,0.37,24.0
LJP007_A549_24H:I17,BRD-K71035033,A549,0.12,24.0
LJP007_A549_24H:I18,BRD-K71035033,A549,0.04,24.0
LJP007_A549_24H:M19,BRD-K93918653,A549,10.0,24.0
LJP007_A549_24H:M20,BRD-K93918653,A549,3.33,24.0
LJP007_A549_24H:M21,BRD-K93918653,A549,1.11,24.0
LJP007_A549_24H:M22,BRD-K93918653,A549,0.37,24.0
LJP007_A549_24H:M23,BRD-K93918653,A549,0.12,24.0
LJP007_A549_24H:M24,BRD-K93918653,A549,0.04,24.0
LJP007_A549_24H:N13,BRD-K42805893,A549,10.0,24.0
LJP007_A549_24H:N14,BRD-K42805893,A549,3.33,24.0
LJP007_A549_24H:N15,BRD-K42805893,A549,1.11,24.0
LJP007_A549_24H:N16,BRD-K42805893,A549,0.37,24.0
LJP007_A549_24H:N17,BRD-K42805893,A549,0.12,24.0
LJP007_A549_24H:N18,BRD-K42805893,A549,0.04,24.0
LJP007_A549_24H:P13,BRD-K77625799,A549,10.0,24.0
LJP007_A549_24H:P14,BRD-K77625799,A549,3.33,24.0
LJP007_A549_24H:P15,BRD-K77625799,A549,1.11,24.0
LJP007_A549_24H:P16,BRD-K77625799,A549,0.37,24.0
LJP007_A549_24H:P17,BRD-K77625799,A549,0.12,24.0
LJP007_A549_24H:P18,BRD-K77625799,A549,0.04,24.0
LJP007_MCF7_24H:A03,BRD-K81418486,MCF7,10.0,24.0
LJP007_MCF7_24H:A13,BRD-K66538826,MCF7,10.0,24.0
LJP007_MCF7_24H:A14,BRD-K66538826,MCF7,3.33,24.0
LJP007_MCF7_24H:A15,BRD-K66538826,MCF7,1.11,24.0
LJP007_MCF7_24H:A16,BRD-K66538826,MCF7,0.37,24.0
LJP007_MCF7_24H:A17,BRD-K66538826,MCF7,0.12,24.0
LJP007_MCF7_24H:A18,BRD-K66538826,MCF7,0.04,24.0
LJP007_MCF7_24H:D19,BRD-K99964838,MCF7,10.0,24.0
LJP007_MCF7_24H:D20,BRD-K99964838,MCF7,3.33,24.0
LJP007_MCF7_24H:D21,BRD-K99964838,MCF7,1.11,24.0
LJP007_MCF7_24H:D22,BRD-K99964838,MCF7,0.37,24.0
LJP007_MCF7_24H:D23,BRD-K99964838,MCF7,0.12,24.0
LJP007_MCF7_24H:D24,BRD-K99964838,MCF7,0.04,24.0
LJP007_MCF7_24H:E19,BRD-K13662825,MCF7,10.0,24.0
LJP007_MCF7_24H:E20,BRD-K13662825,MCF7,3.33,24.0
LJP007_MCF7_24H:E21,BRD-K13662825,MCF7,1.11,24.0
LJP007_MCF7_24H:E22,BRD-K13662825,MCF7,0.37,24.0
LJP007_MCF7_24H:E23,BRD-K13662825,MCF7,0.12,24.0
LJP007_MCF7_24H:E24,BRD-K13662825,MCF7,0.04,24.0
LJP007_MCF7_24H:G01,BRD-K21718444,MCF7,10.0,24.0
LJP007_MCF7_24H:G02,BRD-K21718444,MCF7,3.33,24.0
LJP007_MCF7_24H:G03,BRD-K21718444,MCF7,1.11,24.0
LJP007_MCF7_24H:G04,BRD-K21718444,MCF7,0.37,24.0
LJP007_MCF7_24H:G05,BRD-K21718444,MCF7,0.12,24.0
LJP007_MCF7_24H:G06,BRD-K21718444,MCF7,0.04,24.0
LJP007_MCF7_24H:G07,BRD-K57169635,MCF7,10.0,24.0
LJP007_MCF7_24H:G08,BRD-K57169635,MCF7,3.33,24.0
LJP007_MCF7_24H:G09,BRD-K57169635,MCF7,1.11,24.0
LJP007_MCF7_24H:G10,BRD-K57169635,MCF7,0.37,24.0
LJP007_MCF7_24H:G11,BRD-K57169635,MCF7,0.12,24.0
LJP007_MCF7_24H:G12,BRD-K57169635,MCF7,0.04,24.0
LJP007_MCF7_24H:I13,BRD-K71035033,MCF7,10.0,24.0
LJP007_MCF7_24H:I14,BRD-K71035033,MCF7,3.33,24.0
LJP007_MCF7_24H:I15,BRD-K71035033,MCF7,1.11,24.0
LJP007_MCF7_24H:I16,BRD-K71035033,MCF7,0.37,24.0
LJP007_MCF7_24H:I17,BRD-K71035033,MCF7,0.12,24.0
LJP007_MCF7_24H:I18,BRD-K71035033,MCF7,0.04,24.0
LJP007_MCF7_24H:M19,BRD-K93918653,MCF7,10.0,24.0
LJP007_MCF7_24H:M20,BRD-K93918653,MCF7,3.33,24.0
LJP007_MCF7_24H:M21,BRD-K93918653,MCF7,1.11,24.0
LJP007_MCF7_24H:M22,BRD-K93918653,MCF7,0.37,24.0
LJP007_MCF7_24H:M23,BRD-K93918653,MCF7,0.12,24.0
LJP007_MCF7_24H:M24,BRD-K93918653,MCF7,0.04,24.0
LJP007_MCF7_24H:N13,BRD-K42805893,MCF7,10.0,24.0
LJP007_MCF7_24H:N14,BRD-K42805893,MCF7,3.33,24.0
LJP007_MCF7_24H:N15,BRD-K42805893,MCF7,1.11,24.0
LJP007_MCF7_24H:N16,BRD-K42805893,MCF7,0.37,24.0
LJP007_MCF7_24H:N17,BRD-K42805893,MCF7,0.12,24.0
LJP007_MCF7_24H:N18,BRD-K42805893,MCF7,0.04,24.0
LJP007_MCF7_24H:P13,BRD-K77625799,MCF7,10.0,24.0
LJP007_MCF7_24H:P14,BRD-K77625799,MCF7,3.33,24.0
LJP007_MCF7_24H:P15,BRD-K77625799,MCF7,1.11,24.0
LJP007_MCF7_24H:P16,BRD-K77625799,MCF7,0.37,24.0
LJP007_MCF7_24H:P17,BRD-K77625799,MCF7,0.12,24.0
LJP007_MCF7_24H:P18,BRD-K77625799,MCF7,0.04,24.0
LJP007_PC3_24H:A03,BRD-K81418486,PC3,10.0,24.0
LJP007_PC3_24H:A13,BRD-K66538826,PC3,10.0,24.0
LJP007_PC3_24H:A14,BRD-K66538826,PC3,3.33,24.0
LJP007_PC3_24H:A15,BRD-K66538826,PC3,1.11,24.0
LJP007_PC3_24H:A16,BRD-K66538826,PC3,0.37,24.0
LJP007_PC3_24H:A17,BRD-K66538826,PC3,0.12,24.0
LJP007_PC3_24H:A18,BRD-K66538826,PC3,0.04,24.0
LJP007_PC3_24H:D19,BRD-K99964838,PC3,10.0,24.0
LJP007_PC3_24H:D20,BRD-K99964838,PC3,3.33,24.0
LJP007_PC3_24H:D21,BRD-K99964838,PC3,1.11,24.0
LJP007_PC3_24H:D22,BRD-K99964838,PC3,0.37,24.0
LJP007_PC3_24H:D23,BRD-K99964838,PC3,0.12,24.0
LJP007_PC3_24H:D24,BRD-K99964838,PC3,0.04,24.0
LJP007_PC3_24H:E19,BRD-K13662825,PC3,10.0,24.0
LJP007_PC3_24H:E20,BRD-K13662825,PC3,3.33,24.0
LJP007_PC3_24H:E21,BRD-K13662825,PC3,1.11,24.0
LJP007_PC3_24H:E22,BRD-K13662825,PC3,0.37,24.0
LJP007_PC3_24H:E23,BRD-K13662825,PC3,0.12,24.0
LJP007_PC3_24H:E24,BRD-K13662825,PC3,0.04,24.0
LJP007_PC3_24H:G01,BRD-K21718444,PC3,10.0,24.0
LJP007_PC3_24H:G02,BRD-K21718444,PC3,3.33,24.0
LJP007_PC3_24H:G03,BRD-K21718444,PC3,1.11,24.0
LJP007_PC3_24H:G04,BRD-K21718444,PC3,0.37,24.0
LJP007_PC3_24H:G05,BRD-K21718444,PC3,0.12,24.0
LJP007_PC3_24H:G06,BRD-K21718444,PC3,0.04,24.0
LJP007_PC3_24H:G07,BRD-K57169635,PC3,10.0,24.0
LJP007_PC3_24H:G08,BRD-K57169635,PC3,3.33,24.0
LJP007_PC3_24H:G09,BRD-K57169635,PC3,1.11,24.0
LJP007_PC3_24H:G10,BRD-K57169635,PC3,0.37,24.0
LJP007_PC3_24H:G11,BRD-K57169635,PC3,0.12,24.0
LJP007_PC3_24H:G12,BRD-K57169635,PC3,0.04,24.0
LJP007_PC3_24H:I13,BRD-K71035033,PC3,10.0,24.0
LJP007_PC3_24H:I14,BRD-K71035033,PC3,3.33,24.0
LJP007_PC3_24H:I15,BRD-K71035033,PC3,1.11,24.0
LJP007_PC3_24H:I16,BRD-K71035033,PC3,0.37,24.0
LJP007_PC3_24H:I17,BRD-K71035033,PC3,0.12,24.0
LJP007_PC3_24H:I18,BRD-K71035033,PC3,0.04,24.0
LJP007_PC3_24H:M19,BRD-K93918653,PC3,10.0,24.0
LJP007_PC3_24H:M20,BRD-K93918653,PC3,3.33,24.0
LJP007_PC3_24H:M21,BRD-K93918653,PC3,1.11,24.0
LJP007_PC3_24H:M22,BRD-K93918653,PC3,0.37,24.0
LJP007_PC3_24H:M23,BRD-K93918653,PC3,0.12,24.0
LJP007_PC3_24H:M24,BRD-K93918653,PC3,0.04,24.0
LJP007_PC3_24H:N13,BRD-K42805893,PC3,10.0,24.0
